路口节点,路口节点所属行政区,路口节点连接社区数
7,绿园区,1
14,经开区,1
15,经开区,1
19,绿园区,1
24,经开区,1
50,长春新区(高新),1
85,汽开区,1
105,汽开区,1
114,长春新区(高新),2
115,长春新区(高新),2
119,汽开区,1
136,朝阳区,1
137,长春新区(高新),3
138,长春新区(高新),1
152,汽开区,1
155,汽开区,1
159,汽开区,1
171,朝阳区,2
172,朝阳区,1
183,绿园区,1
184,绿园区,1
186,绿园区,1
200,绿园区,1
201,绿园区,1
203,绿园区,1
206,汽开区,1
219,朝阳区,1
224,朝阳区,1
226,朝阳区,1
230,朝阳区,1
232,朝阳区,1
235,朝阳区,1
236,朝阳区,1
241,朝阳区,1
242,朝阳区,1
248,朝阳区,1
249,长春新区(高新),1
250,朝阳区,3
251,朝阳区,1
258,长春新区(高新),1
259,长春新区(高新),1
273,朝阳区,1
276,朝阳区,2
281,朝阳区,1
289,长春新区(高新),2
290,朝阳区,1
292,长春新区(高新),1
312,朝阳区,1
325,长春新区(高新),2
326,长春新区(高新),1
334,南关区,1
341,南关区,1
342,南关区,1
347,经开区,1
348,经开区,1
361,朝阳区,1
377,朝阳区,1
385,朝阳区,1
399,汽开区,2
410,长春新区(高新),1
436,净月区,1
438,经开区,1
461,朝阳区,1
462,朝阳区,1
464,朝阳区,1
469,绿园区,2
472,朝阳区,1
476,朝阳区,1
484,朝阳区,1
502,朝阳区,1
503,朝阳区,1
504,朝阳区,1
505,绿园区,1
523,汽开区,1
528,绿园区,1
530,绿园区,1
542,汽开区,1
547,绿园区,2
548,绿园区,1
550,绿园区,1
551,绿园区,1
565,汽开区,1
568,汽开区,1
573,汽开区,1
576,长春新区(高新),1
578,长春新区(高新),1
607,汽开区,1
612,汽开区,1
613,汽开区,1
621,汽开区,1
622,汽开区,2
623,汽开区,1
649,汽开区,3
652,汽开区,1
666,汽开区,1
667,汽开区,1
713,绿园区,1
714,绿园区,1
716,绿园区,1
719,绿园区,1
720,绿园区,1
721,绿园区,5
722,绿园区,3
723,绿园区,1
724,绿园区,1
729,绿园区,2
730,绿园区,1
731,绿园区,1
734,汽开区,2
751,汽开区,2
752,汽开区,1
755,汽开区,1
761,绿园区,1
762,绿园区,2
764,绿园区,2
765,绿园区,3
788,绿园区,1
789,绿园区,1
790,绿园区,1
801,南关区,1
812,南关区,1
813,南关区,1
823,汽开区,1
825,汽开区,1
827,汽开区,1
828,汽开区,1
830,汽开区,2
831,汽开区,1
832,汽开区,1
833,汽开区,1
834,朝阳区,4
835,朝阳区,1
840,长春新区(高新),2
851,净月区,1
852,净月区,1
854,净月区,1
866,长春新区(高新),1
876,汽开区,1
902,朝阳区,1
903,朝阳区,1
905,朝阳区,1
906,朝阳区,1
908,朝阳区,1
912,汽开区,1
916,绿园区,1
918,朝阳区,1
920,朝阳区,1
953,汽开区,2
954,汽开区,1
956,汽开区,1
964,朝阳区,1
966,朝阳区,3
970,南关区,3
972,南关区,1
974,南关区,1
978,朝阳区,1
979,朝阳区,1
981,朝阳区,1
982,朝阳区,1
984,朝阳区,2
987,朝阳区,1
990,朝阳区,1
1004,朝阳区,2
1025,南关区,1
1031,南关区,1
1032,南关区,1
1033,南关区,1
1036,南关区,1
1037,南关区,1
1044,南关区,1
1047,朝阳区,1
1074,南关区,1
1085,经开区,1
1092,宽城区,1
1111,宽城区,1
1132,朝阳区,1
1145,宽城区,1
1158,宽城区,1
1172,朝阳区,1
1190,绿园区,1
1194,绿园区,1
1198,绿园区,1
1213,南关区,1
1214,朝阳区,1
1216,朝阳区,1
1219,南关区,1
1234,朝阳区,1
1236,朝阳区,1
1250,朝阳区,3
1254,南关区,2
1266,南关区,3
1270,绿园区,2
1273,汽开区,1
1291,长春新区(高新),2
1294,长春新区(高新),1
1295,长春新区(高新),2
1300,长春新区(高新),1
1301,长春新区(高新),1
1306,朝阳区,1
1307,朝阳区,2
1308,朝阳区,2
1313,南关区,1
1314,南关区,1
1315,南关区,1
1316,南关区,1
1322,汽开区,1
1334,宽城区,1
1351,汽开区,1
1352,绿园区,2
1354,绿园区,1
1360,朝阳区,3
1371,汽开区,1
1372,汽开区,1
1375,汽开区,2
1378,南关区,1
1383,二道区,1
1384,南关区,1
1389,二道区,1
1396,南关区,2
1397,宽城区,1
1412,宽城区,1
1430,南关区,1
1435,朝阳区,1
1445,宽城区,1
1468,朝阳区,1
1470,宽城区,1
1473,南关区,1
1497,净月区,1
1498,朝阳区,1
1500,朝阳区,1
1503,朝阳区,2
1514,宽城区,1
1515,南关区,1
1517,南关区,1
1529,宽城区,1
1531,南关区,1
1576,经开区,2
1577,经开区,1
1603,经开区,1
1682,绿园区,1
1738,经开区,1
1744,经开区,1
1747,经开区,1
1766,经开区,1
1772,经开区,1
1782,经开区,1
1787,经开区,2
1788,经开区,1
1789,经开区,2
1790,经开区,1
1791,经开区,2
1793,经开区,1
1795,经开区,1
1797,净月区,1
1858,南关区,1
1864,宽城区,2
1865,宽城区,1
1866,宽城区,1
1870,宽城区,3
1875,绿园区,1
1877,绿园区,1
1878,绿园区,1
1879,宽城区,1
1883,宽城区,1
1916,净月区,1
1917,净月区,1
1920,净月区,2
1921,净月区,1
1923,净月区,1
1925,净月区,1
1927,净月区,1
1935,净月区,1
1939,净月区,1
1941,南关区,1
1946,净月区,1
1948,南关区,1
1952,净月区,4
1954,净月区,1
1960,净月区,1
1981,南关区,1
1985,经开区,2
1986,经开区,1
1987,经开区,1
1989,经开区,3
1991,净月区,1
1992,净月区,1
2004,净月区,1
2005,净月区,1
2008,净月区,4
2013,经开区,1
2026,南关区,1
2069,净月区,1
2084,净月区,1
2085,净月区,2
2089,净月区,1
2092,净月区,1
2094,净月区,1
2109,净月区,1
2114,净月区,1
2117,净月区,2
2128,净月区,1
2137,净月区,1
2138,净月区,2
2141,净月区,4
2150,净月区,1
2151,净月区,1
2170,经开区,1
2176,净月区,1
2183,净月区,1
2191,净月区,2
2198,净月区,3
2199,净月区,1
2201,净月区,1
2202,经开区,1
2205,经开区,1
2214,净月区,1
2216,净月区,3
2217,净月区,1
2218,净月区,2
2219,净月区,1
2220,净月区,1
2221,经开区,2
2222,经开区,1
2223,经开区,1
2224,经开区,1
2244,南关区,1
2245,南关区,1
2253,经开区,2
2262,经开区,1
2263,经开区,1
2266,经开区,1
2270,净月区,1
2279,经开区,1
2292,经开区,1
2298,二道区,3
2306,二道区,1
2311,经开区,3
2312,经开区,2
2313,经开区,1
2315,南关区,3
2316,南关区,1
2320,南关区,1
2336,二道区,5
2337,二道区,3
2342,经开区,1
2343,经开区,1
2344,经开区,2
2349,二道区,1
2350,二道区,2
2351,二道区,3
2354,二道区,1
2355,二道区,2
2356,二道区,1
2357,二道区,1
2358,二道区,1
2359,经开区,1
2364,经开区,1
2368,二道区,1
2375,经开区,1
2376,二道区,2
2386,二道区,1
2392,二道区,1
2393,二道区,1
2395,二道区,1
2396,二道区,1
2402,二道区,1
2403,二道区,1
2408,二道区,3
2409,二道区,2
2410,二道区,2
2415,二道区,2
2416,二道区,1
2417,二道区,1
2418,二道区,2
2419,二道区,2
2425,二道区,2
2426,二道区,1
2430,二道区,2
2434,二道区,1
2436,二道区,1
2441,二道区,1
2445,二道区,1
2448,二道区,2
2465,二道区,1
2467,二道区,2
2469,二道区,1
2470,二道区,3
2471,二道区,2
2472,二道区,1
2473,二道区,1
2482,南关区,1
2483,南关区,1
2486,经开区,1
2493,南关区,1
2510,南关区,1
2515,二道区,1
2518,南关区,1
2525,南关区,1
2530,南关区,1
2534,南关区,1
2539,经开区,1
2540,南关区,1
2543,南关区,1
2550,二道区,1
2555,二道区,1
2556,二道区,2
2557,二道区,1
2558,二道区,1
2559,二道区,1
2561,二道区,2
2563,二道区,1
2569,南关区,2
2572,二道区,1
2574,二道区,1
2586,南关区,1
2591,二道区,1
2592,二道区,2
2596,二道区,1
2600,经开区,1
2668,汽开区,1
2676,南关区,3
2678,长春新区(高新),1
2695,南关区,4
2699,朝阳区,2
2700,汽开区,1
2702,汽开区,1
2706,汽开区,1
2709,汽开区,1
2712,汽开区,1
2713,汽开区,2
2723,绿园区,1
2724,绿园区,1
2725,汽开区,1
2726,汽开区,1
2774,长春新区(高新),1
2777,长春新区(高新),1
2782,汽开区,1
2788,汽开区,1
2789,汽开区,1
2792,汽开区,1
2807,汽开区,1
2808,汽开区,1
2812,汽开区,1
2814,长春新区(高新),1
2834,长春新区(高新),1
2855,汽开区,1
2856,长春新区(高新),1
2866,长春新区(高新),1
2869,长春新区(高新),1
2875,绿园区,2
2880,宽城区,1
2884,宽城区,1
2887,宽城区,1
2902,绿园区,1
2903,绿园区,1
2909,朝阳区,1
2912,朝阳区,1
2916,绿园区,2
2917,汽开区,2
2930,朝阳区,1
2935,朝阳区,1
2941,绿园区,1
2942,绿园区,2
2947,绿园区,1
2948,朝阳区,2
2967,长春新区(高新),1
2991,南关区,1
3004,汽开区,1
3015,汽开区,2
3029,汽开区,3
3043,净月区,1
3054,宽城区,2
3055,宽城区,1
3056,宽城区,1
3059,宽城区,3
3074,宽城区,1
3093,南关区,1
3103,南关区,1
3124,南关区,1
3130,南关区,2
3131,南关区,2
3138,宽城区,5
3139,宽城区,1
3141,绿园区,1
3146,宽城区,2
3147,宽城区,1
3150,宽城区,2
3151,宽城区,2
3152,宽城区,1
3157,二道区,1
3166,长春新区(高新),1
3171,长春新区(高新),1
3177,长春新区(高新),1
3192,长春新区(高新),1
3196,长春新区(高新),1
3228,南关区,2
3235,长春新区(高新),1
3241,长春新区(高新),1
3252,净月区,1
3263,宽城区,2
3265,宽城区,2
3292,二道区,1
3300,二道区,1
3302,二道区,2
3303,二道区,1
3306,二道区,1
3307,二道区,1
3316,绿园区,1
3353,净月区,1
3380,净月区,1
3392,净月区,1
3394,净月区,1
3412,净月区,1
3417,净月区,1
3420,经开区,1
3449,南关区,3
3461,绿园区,1
3463,绿园区,1
3465,绿园区,1
3466,长春新区(高新),1
3470,汽开区,1
3475,汽开区,1
3476,绿园区,2
3478,绿园区,1
3485,南关区,1
3488,南关区,1
3491,汽开区,2
3495,朝阳区,1
3497,汽开区,1
3498,朝阳区,1
3500,汽开区,1
3509,净月区,2
3512,净月区,1
3517,净月区,2
3519,净月区,2
3544,绿园区,1
3545,汽开区,1
3558,绿园区,1
3562,南关区,2
3564,朝阳区,1
3579,朝阳区,1
3583,朝阳区,1
3585,南关区,1
3588,南关区,1
3594,南关区,2
3597,南关区,1
3598,南关区,1
3600,南关区,2
3603,二道区,3
3608,二道区,2
3638,朝阳区,1
3669,南关区,2
3673,朝阳区,1
3680,绿园区,1
3684,绿园区,1
3688,绿园区,1
3689,绿园区,4
3694,朝阳区,1
3695,绿园区,3
3703,朝阳区,2
3704,朝阳区,1
3705,朝阳区,2
3711,朝阳区,2
3739,宽城区,3
3744,宽城区,4
3745,宽城区,2
3757,绿园区,1
3759,绿园区,1
3769,南关区,1
3772,南关区,1
3782,绿园区,1
3783,绿园区,1
3784,朝阳区,1
3803,朝阳区,1
3834,汽开区,1
3845,汽开区,1
3864,绿园区,1
3867,绿园区,1
3876,绿园区,1
3894,朝阳区,1
3904,朝阳区,1
3908,朝阳区,1
3912,朝阳区,1
3922,绿园区,1
3926,朝阳区,1
3975,宽城区,1
3977,宽城区,1
3980,宽城区,1
3983,宽城区,1
3994,经开区,1
4005,汽开区,1
4021,汽开区,1
4025,汽开区,1
4029,南关区,1
4031,南关区,1
4033,南关区,1
4035,南关区,1
4038,南关区,1
4039,朝阳区,1
4041,朝阳区,1
4056,朝阳区,1
4058,朝阳区,2
4059,朝阳区,1
4067,南关区,1
4071,朝阳区,1
4072,南关区,2
4076,朝阳区,1
4077,朝阳区,1
4089,南关区,1
4099,长春新区(高新),1
4106,长春新区(高新),1
4113,南关区,2
4116,南关区,1
4119,绿园区,1
4122,绿园区,1
4126,绿园区,1
4132,绿园区,1
4136,绿园区,3
4139,朝阳区,2
4161,经开区,1
4166,朝阳区,1
4167,朝阳区,1
4168,朝阳区,2
4171,朝阳区,2
4173,朝阳区,2
4211,宽城区,1
4218,宽城区,1
4222,汽开区,1
4225,朝阳区,3
4226,朝阳区,1
4228,朝阳区,1
4231,朝阳区,1
4233,朝阳区,1
4234,朝阳区,1
4235,朝阳区,1
4236,朝阳区,1
4245,朝阳区,1
4246,朝阳区,1
4247,朝阳区,1
4248,朝阳区,1
4249,朝阳区,2
4257,绿园区,1
4260,宽城区,3
4270,朝阳区,1
4280,朝阳区,2
4285,朝阳区,1
4288,汽开区,1
4291,朝阳区,1
4293,朝阳区,1
4305,绿园区,1
4353,净月区,1
4358,朝阳区,1
4372,汽开区,1
4452,净月区,1
4485,朝阳区,1
4490,朝阳区,2
4495,绿园区,1
4500,汽开区,1
4508,宽城区,1
4513,南关区,1
4517,净月区,1
4523,宽城区,1
4525,宽城区,1
4534,净月区,1
4558,二道区,1
4608,宽城区,1
4616,宽城区,2
4621,绿园区,1
4627,二道区,1
4629,二道区,2
4648,二道区,2
4707,净月区,1
4709,净月区,1
4726,净月区,1
4770,净月区,1
4771,净月区,2
4776,净月区,1
4789,净月区,1
4796,净月区,1
4799,净月区,1
4816,南关区,1
4837,净月区,1
4840,净月区,1
4841,净月区,1
4853,净月区,1
4854,净月区,1
4856,净月区,2
4859,宽城区,1
4866,南关区,1
4867,绿园区,1
4876,绿园区,1
4877,绿园区,1
4881,绿园区,4
4885,南关区,1
4886,南关区,2
4904,经开区,1
4907,经开区,3
4908,经开区,1
4909,经开区,1
4912,经开区,1
4926,经开区,3
4929,经开区,1
5020,宽城区,1
5023,宽城区,2
5024,宽城区,2
5025,宽城区,1
5531,净月区,3
5539,净月区,1
5557,宽城区,1
5568,二道区,4
5581,宽城区,1
5590,宽城区,1
5591,宽城区,1
5597,南关区,1
5606,汽开区,2
5607,汽开区,1
5631,南关区,1
5652,长春新区(高新),1
5657,长春新区(高新),2
5664,南关区,2
5724,长春新区(高新),1
5791,长春新区(高新),1
5792,长春新区(高新),1
5835,长春新区(高新),1
5836,长春新区(高新),1
5837,长春新区(高新),1
5839,长春新区(高新),1
5853,长春新区(高新),1
5854,长春新区(高新),3
5855,长春新区(高新),1
5911,长春新区(高新),1
5929,长春新区(高新),1
5968,长春新区(高新),1
5975,长春新区(高新),1
5976,长春新区(高新),1
5977,长春新区(高新),1
5980,长春新区(高新),1
6009,南关区,1
6019,南关区,2
6020,南关区,1
6054,南关区,1
6088,南关区,1
6098,南关区,1
6109,长春新区(高新),1
6157,绿园区,1
6179,宽城区,1
6180,宽城区,1
6195,宽城区,2
6196,宽城区,2
6200,宽城区,2
6204,宽城区,1
6206,宽城区,2
6207,宽城区,1
6208,宽城区,4
6209,宽城区,1
6216,宽城区,1
6251,二道区,1
6281,二道区,1
6302,宽城区,1
6303,宽城区,2
6305,宽城区,1
6312,二道区,2
6313,二道区,2
6316,二道区,1
6350,长春新区(高新),1
6393,宽城区,1
6397,宽城区,1
6423,净月区,1
6427,汽开区,1
6460,汽开区,1
6464,绿园区,1
6472,南关区,2
6473,南关区,1
6498,朝阳区,1
6501,南关区,1
6502,南关区,1
6504,南关区,1
6505,朝阳区,2
6506,朝阳区,1
6507,朝阳区,1
6508,朝阳区,1
6510,朝阳区,2
6519,朝阳区,1
6568,南关区,1
6594,宽城区,1
6597,宽城区,2
6603,宽城区,1
6605,宽城区,1
6610,宽城区,2
6611,宽城区,1
6612,宽城区,1
6634,南关区,1
6636,南关区,1
6656,南关区,1
6662,南关区,1
6666,南关区,2
6671,南关区,2
6693,南关区,1
6695,南关区,1
6707,宽城区,1
6710,宽城区,1
6711,宽城区,1
6720,宽城区,1
6724,绿园区,1
6727,宽城区,1
6744,宽城区,1
6758,朝阳区,1
6774,朝阳区,1
6775,朝阳区,1
6781,朝阳区,1
6789,南关区,2
6791,南关区,1
6797,南关区,1
6805,朝阳区,1
6816,南关区,3
6818,南关区,1
6819,南关区,1
6840,南关区,1
6846,南关区,1
6849,南关区,1
6850,南关区,1
6852,南关区,1
6856,南关区,2
6864,南关区,1
6880,南关区,1
6891,宽城区,1
6899,南关区,1
6900,南关区,1
6913,南关区,1
6930,二道区,1
6934,二道区,2
6942,绿园区,1
6945,南关区,1
6947,南关区,1
6967,朝阳区,1
6970,朝阳区,1
6975,南关区,1
6979,朝阳区,1
6980,南关区,1
6981,朝阳区,1
6984,朝阳区,1
6990,南关区,1
6991,南关区,1
6992,朝阳区,1
6993,朝阳区,1
7002,南关区,1
7006,长春新区(高新),2
7007,朝阳区,1
7023,经开区,1
7038,净月区,1
7041,净月区,2
7047,净月区,1
7054,净月区,1
7056,净月区,1
7059,南关区,1
7084,汽开区,1
7087,朝阳区,1
7101,汽开区,1
7114,长春新区(高新),1
7128,汽开区,1
7129,汽开区,1
7141,二道区,1
7145,经开区,1
7150,二道区,2
7151,二道区,1
7154,经开区,1
7155,经开区,1
7165,南关区,1
7168,朝阳区,1
7181,绿园区,1
7182,绿园区,1
7186,绿园区,1
7189,绿园区,1
7192,绿园区,1
7193,绿园区,1
7205,绿园区,1
7210,绿园区,1
7214,绿园区,1
7223,绿园区,1
7229,绿园区,1
7230,绿园区,1
7236,汽开区,1
7238,汽开区,1
7239,汽开区,1
7241,宽城区,1
7242,二道区,1
7244,二道区,1
7246,朝阳区,1
7250,南关区,1
7256,经开区,2
7257,经开区,1
7258,经开区,1
7297,二道区,1
7298,二道区,1
7335,经开区,3
7336,经开区,1
7337,经开区,1
7356,经开区,1
7369,经开区,1
7384,二道区,1
7386,二道区,3
7388,二道区,3
7399,二道区,1
7400,二道区,2
7405,二道区,1
7417,宽城区,1
7426,净月区,2
7439,南关区,1
7469,南关区,1
7476,南关区,2
7477,南关区,1
7487,净月区,1
7489,净月区,3
7490,宽城区,1
7503,宽城区,1
7511,绿园区,1
7552,二道区,1
7553,二道区,1
7554,二道区,1
7561,宽城区,1
7562,宽城区,1
7571,绿园区,1
7572,宽城区,1
7590,经开区,1
7628,长春新区(高新),1
7636,二道区,1
7638,二道区,2
7639,二道区,1
7644,二道区,1
7656,净月区,1
7659,净月区,1
7681,朝阳区,1
7685,朝阳区,1
7686,朝阳区,1
7687,朝阳区,1
7689,朝阳区,1
7705,宽城区,1
7711,宽城区,1
7721,绿园区,1
7728,宽城区,1
7729,宽城区,1
7730,宽城区,1
7731,宽城区,1
7732,宽城区,1
7733,宽城区,1
7734,宽城区,1
7736,宽城区,1
7737,宽城区,3
7739,宽城区,3
7740,宽城区,1
7743,汽开区,1
7753,汽开区,1
7754,汽开区,1
7761,汽开区,1
7762,汽开区,1
7795,汽开区,1
7813,汽开区,1
7839,汽开区,1
7840,汽开区,1
7841,汽开区,1
7848,汽开区,1
7882,汽开区,3
7903,汽开区,1
7904,汽开区,1
7905,汽开区,1
7909,汽开区,1
7910,汽开区,1
7922,汽开区,1
7926,绿园区,1
7928,汽开区,1
7933,绿园区,1
7937,绿园区,1
7940,绿园区,2
7950,绿园区,3
7951,绿园区,1
7952,绿园区,1
7955,绿园区,1
7966,绿园区,1
7968,绿园区,2
7969,绿园区,1
7972,绿园区,2
7973,绿园区,1
7975,绿园区,1
8023,宽城区,3
8086,二道区,1
8087,南关区,2
8100,二道区,1
8103,长春新区(高新),1
8111,绿园区,1
8115,绿园区,1
8118,朝阳区,1
8125,南关区,1
8126,宽城区,4
8131,绿园区,1
8175,长春新区(高新),1
8178,绿园区,3
8207,宽城区,1
8248,绿园区,1
8282,南关区,1
8283,南关区,1
8284,南关区,2
8292,汽开区,1
8295,汽开区,1
8298,南关区,1
8304,绿园区,1
8342,宽城区,1
8416,绿园区,1
8435,汽开区,1
8441,南关区,1
8443,南关区,1
8457,南关区,2
8484,净月区,1
8485,净月区,1
8486,净月区,1
8489,净月区,2
8494,净月区,1
8498,经开区,1
8523,二道区,2
8531,二道区,2
8532,二道区,1
8535,二道区,1
8538,经开区,1
8613,汽开区,1
8669,净月区,1
8673,净月区,1
8679,净月区,1
8690,宽城区,1
8694,宽城区,2
8695,宽城区,1
8696,宽城区,1
8697,宽城区,1
8709,经开区,1
8721,二道区,1
9121,二道区,1
9138,汽开区,2
9147,汽开区,1
9162,汽开区,1
9164,汽开区,1
9168,经开区,1
9169,经开区,1
9171,二道区,1
9179,经开区,1
9186,二道区,2
9195,绿园区,1
9198,绿园区,1
9199,绿园区,2
9204,绿园区,1
9208,绿园区,3
9212,绿园区,1
9226,绿园区,1
9230,绿园区,1
9260,宽城区,1
9262,长春新区(高新),1
9273,朝阳区,1
9324,南关区,2
9330,净月区,1
9332,净月区,1
9338,长春新区(高新),1
9409,绿园区,1
9417,宽城区,3
9418,宽城区,1
9438,绿园区,1
9445,绿园区,1
9447,绿园区,1
9484,南关区,1
9486,南关区,1
9490,南关区,1
9493,南关区,1
9528,净月区,1
9535,净月区,1
9536,净月区,1
9537,净月区,1
9557,净月区,1
9559,净月区,1
9573,宽城区,1
9599,经开区,1
9601,经开区,1
9673,朝阳区,1
9674,朝阳区,1
9692,长春新区(高新),1
9701,净月区,1
9705,二道区,3
9706,二道区,1
9709,二道区,1
9714,汽开区,1
9744,净月区,1
9747,朝阳区,1
9762,二道区,1
9775,经开区,1
9776,经开区,4
9792,经开区,1
9799,经开区,1
9800,经开区,1
9802,二道区,1
9811,经开区,1
9816,朝阳区,1
9821,南关区,1
9823,南关区,1
9827,南关区,1
9847,南关区,1
9849,朝阳区,1
9878,净月区,1
9901,长春新区(高新),1
9902,长春新区(高新),1
9916,汽开区,1
9927,朝阳区,2
